Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/10,15:14,94.900,1/1,60
2021/03/10,15:24,94.826,1/1,59
2021/03/10,15:34,96.009,1/3,59
2021/03/10,15:44,95.713,1/1,58
2021/03/10,15:54,96.157,1/2,59
2021/03/10,16:04,93.939,2/2,56
2021/03/10,16:14,93.939,2/3,56
2021/03/10,16:24,92.461,2/2,55
2021/03/10,16:34,92.461,2/2,55
2021/03/10,16:44,92.461,2/2,55
2021/03/10,16:54,97.339,2/5,58
2021/03/10,17:04,96.231,2/3,58
2021/03/10,17:14,95.344,3/6,58
2021/03/10,17:24,95.639,2/3,58
2021/03/10,17:34,95.344,2/2,57
2021/03/10,17:44,79.823,2/3,55
2021/03/10,17:54,78.344,2/2,54
2021/03/10,18:04,74.797,2/2,52
2021/03/10,18:14,74.797,2/2,52
2021/03/10,18:24,75.388,2/4,54
2021/03/10,18:34,76.571,2/3,55
2021/03/10,18:44,76.571,2/2,55
2021/03/10,18:54,76.571,2/2,55
2021/03/10,19:04,76.571,2/2,55
2021/03/10,19:14,76.571,2/2,55
2021/03/10,19:24,76.571,2/2,55
2021/03/10,19:34,76.571,2/2,55
2021/03/10,19:44,77.014,2/5,58
2021/03/10,19:54,76.718,2/3,58
2021/03/10,20:04,76.718,2/2,58
2021/03/10,20:14,78.197,2/3,59
2021/03/10,20:24,79.675,2/3,60
2021/03/10,20:34,79.675,2/2,60
2021/03/10,20:44,79.675,2/2,60
2021/03/10,20:54,79.675,1/2,60
2021/03/10,21:04,80.044,3/5,61
2021/03/10,21:14,79.749,3/3,59
2021/03/10,21:24,79.453,3/3,57
2021/03/10,21:34,79.453,3/3,57
2021/03/10,21:44,79.453,3/3,57
2021/03/10,21:54,80.636,3/4,58
2021/03/10,22:04,81.153,2/5,59
2021/03/10,22:14,81.153,2/2,59
2021/03/10,22:24,82.631,3/6,61
2021/03/10,22:34,82.853,4/5,62
2021/03/10,22:44,82.853,4/4,62
2021/03/10,22:54,86.253,4/7,65
2021/03/10,23:04,92.092,4/7,68
2021/03/10,23:14,90.613,5/8,69
2021/03/10,23:24,85.883,4/7,66
2021/03/10,23:34,85.588,5/5,65
2021/03/10,23:44,85.588,5/5,65
2021/03/10,23:54,85.218,5/5,64
2021/03/11,00:04,80.857,4/7,63
2021/03/11,00:14,82.336,4/6,64
2021/03/11,00:24,84.553,4/5,64
2021/03/11,00:34,84.627,4/6,61
2021/03/11,00:44,79.157,4/4,57
2021/03/11,00:54,73.836,4/5,56
2021/03/11,01:04,75.092,4/5,56
2021/03/11,01:14,75.018,4/5,56
2021/03/11,01:24,75.092,5/7,57
2021/03/11,01:34,70.732,5/7,56
2021/03/11,01:44,70.732,5/5,56
2021/03/11,01:54,92.979,5/6,56
2021/03/11,02:04,92.239,4/5,55
2021/03/11,02:14,92.239,4/4,55
2021/03/11,02:24,92.239,4/4,55
2021/03/11,02:34,92.018,4/4,54
2021/03/11,02:44,91.944,3/4,54
2021/03/11,02:54,91.944,3/3,54
2021/03/11,03:04,91.944,2/3,54
2021/03/11,03:14,92.535,2/3,54
2021/03/11,03:24,92.535,2/2,54
2021/03/11,03:34,92.535,2/2,54
2021/03/11,03:44,92.535,2/2,54
2021/03/11,03:54,92.461,2/2,53
2021/03/11,04:04,92.461,2/2,53
2021/03/11,04:14,92.461,2/2,53
2021/03/11,04:24,92.461,2/2,53
2021/03/11,04:34,92.461,2/2,53
2021/03/11,04:44,92.387,2/2,52
2021/03/11,04:54,92.387,2/2,52
2021/03/11,05:04,92.387,2/2,52
2021/03/11,05:14,92.313,2/2,51
2021/03/11,05:24,92.239,2/2,50
2021/03/11,05:34,91.648,2/2,49
2021/03/11,05:44,91.648,2/2,49
2021/03/11,05:54,91.648,2/2,49
2021/03/11,06:04,91.648,2/2,49
2021/03/11,06:14,91.648,2/2,49
2021/03/11,06:24,90.466,2/2,48
2021/03/11,06:34,90.466,2/2,48
2021/03/11,06:44,90.466,2/2,48
2021/03/11,06:54,88.987,2/2,47
2021/03/11,07:04,88.987,2/2,47
2021/03/11,07:14,88.766,2/2,46
2021/03/11,07:24,88.766,2/2,46
2021/03/11,07:34,88.766,2/2,46
2021/03/11,07:44,88.766,2/2,46
2021/03/11,07:54,88.766,2/2,46
2021/03/11,08:04,88.766,2/2,46
2021/03/11,08:14,88.766,2/2,46
2021/03/11,08:24,92.092,2/3,47
2021/03/11,08:34,92.092,2/2,47
2021/03/11,08:44,91.353,2/2,45
2021/03/11,08:54,91.279,2/3,44
2021/03/11,09:04,91.279,2/2,44
2021/03/11,09:14,91.353,2/3,45
2021/03/11,09:24,90.761,4/7,43
2021/03/11,09:34,90.687,4/7,42
2021/03/11,09:44,90.983,8/15,41
2021/03/11,09:54,91.279,9/17,41
2021/03/11,10:04,90.392,11/20,40
2021/03/11,10:14,90.392,11/20,40
2021/03/11,10:24,90.392,12/22,40
2021/03/11,10:34,90.392,15/28,40
2021/03/11,10:44,90.392,16/30,40
